cycle,send_rate,sent,service_rate,serviced,sender_outstanding,noc_outstanding,receiver_queue,arrival_noc,arrival_receiver,response_noc,response_sender,raw_throttle,delayed_throttle,queue_over_capacity
190,2.9573540480915397,2.9573540480915397,3.0,2.9573692641085354,130.13146541558447,65.06298117133628,0.0,2.957200737445138,2.9573692641085354,2.9578497244909796,2.9581862279300846,False,False,False
191,2.9573706916883107,2.9573706916883107,3.0,2.957336582298871,130.13065566923672,65.06238560331727,0.0,2.9572072229636417,2.957336582298871,2.9578027909826603,2.958180438036075,False,False,False
192,2.9573868866152657,2.9573868866152657,3.0,2.9573068745499484,130.12987494656474,65.06184648647994,0.0,2.957216263770545,2.9573068745499484,2.957755380607881,2.9581676092872375,False,False,False
193,2.9574025010687053,2.9574025010687053,3.0,2.9572803426821803,130.12912894216055,65.06136601278784,0.0,2.9572274418089552,2.9572803426821803,2.957707915501044,2.95814850547291,False,False,False
194,2.957417421156789,2.957417421156789,3.0,2.9572571730993396,130.1284225102693,65.06094559234583,0.0,2.957240372974186,2.9572571730993396,2.957660793416194,2.958123853048018,False,False,False
195,2.957431549794614,2.957431549794614,3.0,2.9572375374475737,130.12775971755102,65.06058590897685,0.0,2.9572547053181086,2.9572375374475737,2.9576143886870954,2.958094342512897,False,False,False
196,2.9574448056489797,2.9574448056489797,3.0,2.9572215932517762,130.12714389345098,65.06028697314991,0.0,2.957270117328641,2.9572215932517762,2.9575690531555807,2.9580606297490264,False,False,False
197,2.9574571221309807,2.9574571221309807,3.0,2.9572094845299883,130.12657767827002,65.06004817236244,0.0,2.9572863162816496,2.9572094845299883,2.9575251170691224,2.9580233373119507,False,False,False
198,2.9574684464345995,2.9574684464345995,3.0,2.957201342386503,130.126063069022,65.05986831907653,0.0,2.9573030366626387,2.957201342386503,2.9574828899485457,2.9579830556826376,False,False,False
199,2.9574787386195602,2.9574787386195602,3.0,2.957197285584343,130.12560146316304,65.05974569630541,0.0,2.957320038655672,2.957197285584343,2.9574426614267764,2.9579403444785077,False,False,False
200,2.9574879707367394,2.9574879707367394,3.0,2.957197261097724,130.12519370027445,65.059678100943,0.0,2.9573371066970764,2.957197261097724,2.957404702059494,2.957895733625307,False,False,False
201,2.957496125994511,2.957496125994511,3.0,2.957200737445138,130.12484010177798,65.05966288492601,0.0,2.9573540480915397,2.957200737445138,2.9573692641085354,2.9578497244909796,False,False,False
202,2.9575031979644404,2.9575031979644404,3.0,2.9572072229636417,130.12454050875974,65.05969699431546,0.0,2.9573706916883107,2.9572072229636417,2.957336582298871,2.9578027909826603,False,False,False
203,2.957509189824805,2.957509189824805,3.0,2.957216263770545,130.12429431797665,65.05977700638078,0.0,2.9573868866152657,2.957216263770545,2.9573068745499484,2.957755380607881,False,False,False
204,2.957514113640467,2.957514113640467,3.0,2.9572274418089552,130.12410051611607,65.0598991647673,0.0,2.9574025010687053,2.9572274418089552,2.9572803426821803,2.957707915501044,False,False,False
205,2.9575179896776786,2.9575179896776786,3.0,2.957240372974186,130.12395771237757,65.06005941282476,0.0,2.957417421156789,2.957240372974186,2.9572571730993396,2.957660793416194,False,False,False
206,2.9575208457524487,2.9575208457524487,3.0,2.9572547053181086,130.12386416944292,65.06025342517181,0.0,2.957431549794614,2.9572547053181086,2.9572375374475737,2.9576143886870954,False,False,False
207,2.9575227166111415,2.9575227166111415,3.0,2.957270117328641,130.1238178328985,65.06047663756901,0.0,2.9574448056489797,2.957270117328641,2.9572215932517762,2.9575690531555807,False,False,False
208,2.95752364334203,2.95752364334203,3.0,2.9572863162816496,130.12381635917143,65.06072427517,0.0,2.9574571221309807,2.9572863162816496,2.9572094845299883,2.9575251170691224,False,False,False
209,2.9575236728165715,2.9575236728165715,3.0,2.9573030366626387,130.12385714203944,65.06099137921811,0.0,2.9574684464345995,2.9573030366626387,2.957201342386503,2.9574828899485457,False,False,False
210,2.957522857159211,2.957522857159211,3.0,2.957320038655672,130.12393733777188,65.06127283225332,0.0,2.9574787386195602,2.957320038655672,2.957197285584343,2.9574426614267764,False,False,False
211,2.9575212532445625,2.9575212532445625,3.0,2.9573371066970764,130.12405388895692,65.06156354189234,0.0,2.9574879707367394,2.9573371066970764,2.957197261097724,2.957404702059494,False,False,False
212,2.9575189222208618,2.9575189222208618,3.0,2.9573540480915397,130.12420354706924,65.06185893044172,0.0,2.957496125994511,2.9573540480915397,2.957200737445138,2.9573692641085354,False,False,False
213,2.9575159290586153,2.9575159290586153,3.0,2.9573706916883107,130.124382893829,65.06215490544251,0.0,2.9575031979644404,2.9573706916883107,2.9572072229636417,2.957336582298871,False,False,False
214,2.95751234212342,2.95751234212342,3.0,2.9573868866152657,130.12458836140246,65.06244783149677,0.0,2.957509189824805,2.9573868866152657,2.957216263770545,2.9573068745499484,False,False,False
215,2.957508232771951,2.957508232771951,3.0,2.9574025010687053,130.12481625149223,65.06273450332829,0.0,2.957514113640467,2.9574025010687053,2.9572274418089552,2.9572803426821803,False,False,False
216,2.9575036749701553,2.9575036749701553,3.0,2.957417421156789,130.12506275336304,65.06301212003179,0.0,2.9575179896776786,2.957417421156789,2.957240372974186,2.9572571730993396,False,False,False
217,2.9574987449327392,2.9574987449327392,3.0,2.957431549794614,130.1253239608482,65.06327826046613,0.0,2.9575208457524487,2.957431549794614,2.9572547053181086,2.9572375374475737,False,False,False
218,2.957493520783036,2.957493520783036,3.0,2.9574448056489797,130.12559588837945,65.06353085974862,0.0,2.9575227166111415,2.9574448056489797,2.957270117328641,2.9572215932517762,False,False,False
